title,type,language,region,release_year,primary_genre,genre_blend,theme,tone,pacing,content_era,imdb_rating,rating,duration,country,description,sentiment_polarity,sentiment_subjectivity,sentiment_label
Boomika (Telugu),Movie,English,Global,2021,Horror Movies,Yes,Empowerment,Uplifting,Slow,2020-22,7.1,TV-14,122 min,,Boomika (Telugu) is a Horror Movies story exploring Empowerment in a Uplifting setting.,0.0,0.0,Neutral
3 Türken & ein Baby,Movie,English,Global,2015,Comedies,Yes,Revenge,Inspiring,Medium,Pre-2020,8.0,TV-MA,93 min,Germany,3 Türken & ein Baby is a Comedies story exploring Revenge in a Inspiring setting.,0.5,1.0,Positive
Teenage Bounty Hunters,TV Show,English,Global,2020,Crime TV Shows,Yes,Empowerment,Satirical,Slow,2020-22,8.0,TV-MA,1 Season,United States,Teenage Bounty Hunters is a Crime TV Shows story exploring Empowerment in a Satirical setting.,0.0,0.0,Neutral
I'm Sorry,TV Show,English,Global,2019,TV Comedies,No,Social Justice,Philosophical,Fast,Pre-2020,7.8,TV-MA,2 Seasons,United States,I'm Sorry is a TV Comedies story exploring Social Justice in a Philosophical setting.,-0.1555555555555555,0.3555555555555555,Neutral
Taken,TV Show,English,Global,2018,Crime TV Shows,Yes,Empowerment,Uplifting,Medium,Pre-2020,6.8,TV-14,2 Seasons,"France, United States",Taken is a Crime TV Shows story exploring Empowerment in a Uplifting setting.,0.0,0.0,Neutral
Harriet the Spy: Blog Wars,Movie,English,Global,2010,Children & Family Movies,Yes,Queerness,Dark,Fast,Pre-2020,7.7,TV-G,87 min,"United States, Canada",Harriet the Spy: Blog Wars is a Children & Family Movies story exploring Queerness in a Dark setting.,-0.15,0.4,Neutral
Jal,Movie,Hindi,India,2013,Dramas,Yes,Queerness,Dark,Fast,Pre-2020,7.1,TV-14,132 min,India,Jal is a Dramas story exploring Queerness in a Dark setting.,-0.15,0.4,Neutral
Only Mine,Movie,English,Global,2019,Thrillers,No,Queerness,Gritty,Medium,Pre-2020,8.9,TV-14,88 min,United States,Only Mine is a Thrillers story exploring Queerness in a Gritty setting.,0.0,0.875,Neutral
Qarib Qarib Singlle,Movie,Hindi,India,2017,Comedies,Yes,Love,Satirical,Fast,Pre-2020,6.3,TV-14,120 min,India,Qarib Qarib Singlle is a Comedies story exploring Love in a Satirical setting.,0.5,0.6,Positive
Ajji,Movie,Hindi,India,2017,Dramas,Yes,Family,Dark,Slow,Pre-2020,7.4,TV-MA,105 min,India,Ajji is a Dramas story exploring Family in a Dark setting.,-0.15,0.4,Neutral
Chippa,Movie,Hindi,India,2020,Comedies,Yes,Social Justice,Romantic,Slow,2020-22,6.7,TV-14,92 min,India,Chippa is a Comedies story exploring Social Justice in a Romantic setting.,0.0166666666666666,0.2833333333333333,Neutral
Breaking Free,Movie,Hindi,India,2015,Documentaries,Yes,Revenge,Inspiring,Slow,Pre-2020,7.2,TV-MA,81 min,India,Breaking Free is a Documentaries story exploring Revenge in a Inspiring setting.,0.45,0.9,Positive
Kuch Kuch Hota Hai,Movie,Hindi,India,1998,Comedies,Yes,Social Justice,Satirical,Medium,Pre-2020,8.6,TV-14,185 min,India,Kuch Kuch Hota Hai is a Comedies story exploring Social Justice in a Satirical setting.,0.0333333333333333,0.0666666666666666,Neutral
Tope: The Bait,Movie,Hindi,India,2016,Dramas,Yes,Revenge,Dark,Medium,Pre-2020,7.0,TV-14,87 min,India,Tope: The Bait is a Dramas story exploring Revenge in a Dark setting.,-0.15,0.4,Neutral
U Turn,Movie,Hindi,India,2016,International Movies,Yes,Revenge,Inspiring,Medium,Pre-2020,6.4,TV-14,121 min,India,U Turn is a International Movies story exploring Revenge in a Inspiring setting.,0.25,0.5,Positive
Article 15,Movie,Hindi,India,2019,Dramas,Yes,Love,Inspiring,Fast,Pre-2020,7.1,TV-MA,125 min,India,Article 15 is a Dramas story exploring Love in a Inspiring setting.,0.5,0.8,Positive
Department,Movie,Hindi,India,2012,Action & Adventure,Yes,Revenge,Melancholic,Medium,Pre-2020,8.7,TV-MA,143 min,India,Department is a Action & Adventure story exploring Revenge in a Melancholic setting.,0.1,0.1,Neutral
Jab We Met,Movie,Hindi,India,2007,Comedies,Yes,Social Justice,Romantic,Fast,Pre-2020,6.8,TV-14,143 min,India,Jab We Met is a Comedies story exploring Social Justice in a Romantic setting.,0.0166666666666666,0.2833333333333333,Neutral
